tm_id,name,full_name,date_of_birth,nationality,position,club_name,club_tm_id,market_value,age,reep_id,fotmob_id,sofascore_id,fbref_id,understat_id,capology_name,analyst_name,understat_name
1216180,"Corey Edwards",,,"Grenada, England","Central Midfield",Rochdale,1088,,,,,,,,,"Corey Edwards",
121773,"Joe Edwards","Joseph Robert Edwards",,England,Right-Back,Plymouth,2262,50000,,,,,,,,"Joe Edwards",
1220275,"Pemi Aderoju","Oluwalopemiwa Adedunmola Aderoju",,"England, Nigeria",Centre-Forward,"Crawley Town",3537,100000,,,,,,,,"Oluwalopemiwa Aderoju",
122223,"Sam Clucas","Samuel Raymond Clucas",,England,"Central Midfield",Shrewsbury,3054,50000,,,,,,,,"Sam Clucas",
1224844,"Harry Hedges",,,England,"Attacking Midfield","AFC Wimbledon",3884,,,,,,,,,"Harry Hedges",
1225050,"Kamil Dudek","Kamil Jan Dudek",,Poland,Goalkeeper,"Burton Albion",2963,,,,,,,,,"Kamil Dudek",
1225829,"Hayden Bullas",,,England,"Central Midfield",Bromley,8981,,,,,,,,,,
1225834,"Dan Carter","Daniel Edward Carter",,England,"Attacking Midfield","Leyton Orient",1150,,,,,,,,,,
1225861,"Reece Wilson","Reece Shaun Wilson",,England,Centre-Forward,Rotherham,1194,,,,,,,,,,
1225863,"James Clarke","James Anthony Clarke",,England,"Attacking Midfield",Rotherham,1194,100000,,,,,,,,,
1225865,"Cohen Lee",,,England,"Central Midfield",Rotherham,1194,,,,,,,,,"Cohen Lee",
1228067,"Will Jenkins",,,England,"Central Midfield",Rochdale,1088,,,,,,,,,,
1229924,"Adama Sidibeh",,,"The Gambia, England",Centre-Forward,Stockport,1098,400000,,,,,,,,"Adama Sidibeh",
1231181,"Joseph McCallum",,,England,"Central Midfield",Wycombe,2805,,,,,,,,,,
1240107,"Patrick Matejko",,,England,"Central Midfield",Barnet,2804,,,,,,,,,,
1238020,"Jack Taylor","Jack Paul Taylor",,England,Centre-Back,Stevenage,3684,,,,,,,,,,
1243701,"Yahya Bamba","Yahaya Abdoul Bamba",,France,Centre-Forward,"Newport County",3716,,,,,,,,,"Yahya Mousa Gharawi",
1253588,"Sebastian Auton","Sebastian James Auton",,England,Goalkeeper,"Grimsby Town",1034,,,,,,,,,,
125409,"Nathaniel Méndez-Laing","Nathaniel Otis Méndez-Laing",,"Guatemala, England","Right Winger","MK Dons",991,250000,,,,,,,,"Nathaniel Méndez-Laing",
126225,"Tom Naylor","Thomas Keith Naylor",,England,"Defensive Midfield",Chesterfield,1219,75000,,,,,,,,"Tom Taylor",
1263583,"Kane Drummond","Kane Omar Earl Drummond",,England,Centre-Forward,"Oldham Athletic",1078,150000,,,,,,,,"Kane Drummond",
128273,"Jay Lynch","Jay Anthony Lynch",,England,Goalkeeper,Fleetwood,11177,75000,,,,,,,,"Jay Lynch",
128828,"Tom Anderson","Thomas Robert Anderson",,England,Centre-Back,Shrewsbury,3054,75000,,,,,,,,"Tom Anderson",
128895,"Jak Alnwick",,,England,Goalkeeper,Huddersfield,1110,225000,,,,,,,,,
128905,"Josh McEachran","Joshua Mark McEachran",,"England, Scotland","Central Midfield","Bristol Rovers",2455,75000,,,,,,,,"Josh McEachran",
1289516,"Isaac Lee",,,"Korea, South, England",Centre-Back,Shrewsbury,3054,50000,,,,,,,,"Lee Isaac",
1005424,"Pedro Jesus","Pedro Antonio Rei Jesus",,Portugal,"Attacking Midfield","Santa Clara",2423,,,,,,,,,,
129021,"Rod McDonald","Rodney Troy McDonald",,England,Centre-Back,"Notts County",1045,50000,,,,,,,,"Rod McDonald",
129062,"Jack Price","Jack Alexander Price",,England,"Central Midfield",Shrewsbury,3054,,,,,,,,,"Jack Hazlehurst",
129067,"Ethan Ebanks-Landell","Ethan Reid Ebanks-Landell",,"England, Jamaica",Centre-Back,Rochdale,1088,,,,,,,,,,
1293761,"Ryley Reynolds",,,England,"Central Midfield","Notts County",1045,,,,,,,,,,
1296103,"Fin Roberts",,,England,"Right Winger","Crewe Alexandra",1042,,,,,,,,,,
129558,"Sam Walker","Samuel Colin Walker",,England,Goalkeeper,Bradford,1027,50000,,,,,,,,,
1296813,"Callum Stewart",,,England,Centre-Forward,Shrewsbury,3054,75000,,,,,,,,"Callum Stewart",
1298081,"Henry Brown","Henry Oscar Brown",,England,"Attacking Midfield","Grimsby Town",1034,50000,,,,,,,,"Kian McMahon-Brown",
1300764,"Harry Waldock",,,England,"Central Midfield",Gillingham,2814,50000,,,,,,,,"Harry Waldock",
1305987,"James Rogerson","James Gordon Rogerson",,England,Goalkeeper,Accrington,3688,,,,,,,,,,
1313568,"Jenson Kilroy","Jenson Michael Kilroy",,England,Goalkeeper,Walsall,899,,,,,,,,,,
1309334,"Klaudio Krasniqi",,,"England, Albania","Defensive Midfield","Crawley Town",3537,25000,,,,,,,,,
1313571,"Louie Cayless",,,England,Right-Back,"Exeter City",6699,,,,,,,,,,
1313572,"Kasper Williams",,,England,Centre-Back,Doncaster,2454,,,,,,,,,"Kasper Williams",
1313578,"Harry Webster",,,England,Right-Back,Gillingham,2814,,,,,,,,,,
1314725,"K'Marni Miller","K'Marni Leigh Miller",,England,Left-Back,Wigan,1071,,,,,,,,,,
131980,"Conor Thomas",,,England,"Defensive Midfield","Crewe Alexandra",1042,50000,,,,,,,,"Conor Thomas",
1322747,"Junior Eccleston","Julian Junior Alexander Eccleston",,England,Centre-Back,Chesterfield,1219,,,,,,,,,,
1328419,"Rafiq Lamptey",,,"England, Ghana","Central Midfield",Chesterfield,1219,,,,,,,,,"Rafiq Lamptey",
133397,"Andy Cook","Andrew Ellis Cook",,England,Centre-Forward,"Grimsby Town",1034,50000,,,,,,,,"Andy Cook",
1336985,"Lenny Brown",,,England,,Stevenage,3684,,,,,,,,,"Lenny Brown",
1337025,"Kieran Wilson",,,Scotland,Centre-Forward,"Exeter City",6699,75000,,,,,,,,"Kieran Wilson",
1337026,"George Birch","George Edward Birch",,England,"Attacking Midfield","Exeter City",6699,,,,,,,,,"George Birch",
1337032,"Kane Richardson","Kane David Rudge Richardson",,England,"Left Midfield",Rotherham,1194,,,,,,,,,"Kane Richardson",
1337033,"Harrison Duncan","Harrison Anthony Duncan",,"England, British Virgin Islands",Centre-Back,Rotherham,1194,,,,,,,,,"Harrison Duncan",
1337177,"Isiah Noel-Williams",,,"England, Grenada",Centre-Forward,Barnet,2804,,,,,,,,,,
1337176,"Mamadou Diallo",,,England,Goalkeeper,"Cheltenham U18",18144,,,,,,,,,,
1338704,"Aston Wilson",,,England,Goalkeeper,"Oldham Athletic",1078,,,,,,,,,,
1338708,"Harry Tustin","Harry James Tustin",,England,"Central Midfield",Cheltenham,3371,50000,,,,,,,,"Harry Tustin",
1340404,"Lucca Mendonca",,,"England, Brazil",Centre-Back,Peterborough,1072,,,,,,,,,"Lucca Mendonça",
1340433,"George Sebine",,,England,Centre-Forward,Huddersfield,1110,,,,,,,,,"George Sebine",
1343643,"George Evans",,,England,Centre-Forward,Bromley,8981,,,,,,,,,,
1005585,"Pepê Fermino",,,Brazil,"Attacking Midfield",Santos,221,,,,,,,,,,
134293,"Jayden Stockley","Jayden Connor Stockley",,England,Centre-Forward,"Port Vale",1211,125000,,,,,,,,"Jayden Stockley",
1399959,"Isaac England","Isaac Samuel England",,England,"Central Midfield",Shrewsbury,3054,75000,,,,,,,,"Isaac England",
136580,"Omar Beckles","Omar Jerome Beckles",,"Grenada, England",Centre-Back,Gillingham,2814,50000,,,,,,,,"Omar Beckles",
1404686,"Frankie Phillips",,,England,Goalkeeper,"Exeter City",6699,,,,,,,,,,
1406628,"Chanse Headman","Chanse Allan Headman",,England,Centre-Back,Bromley,8981,75000,,,,,,,,"Chanse Headman",
1415493,"Jacob Bryant","Jacob Samuel Bryant",,England,Goalkeeper,Doncaster,2454,,,,,,,,,,
141573,"George Saville","George Alan Saville",,"Northern Ireland, England","Central Midfield",Luton,1031,700000,,,,,,,,"George Saville",
1432936,"Rohat Matyar",,,England,Centre-Back,Barnet,2804,,,,,,,,,,
1433785,"Fate Kotey",,,"England, Ghana","Right Winger","Crawley Town",3537,,,,,,,,,"Fate Kotey",
1434712,"Bright Siaw","Bright Kwame Siaw",,"England, Ghana","Left Winger",Barnet,2804,,,,,,,,,"Bright Siaw",
1447788,"Sulyman Krubally","Sulyman Krubally Sankareh",,"England, The Gambia","Attacking Midfield","Burton Albion",2963,100000,,,,,,,,"Sulyman Krubally",
1441310,"Will Gray",,,England,"Central Midfield",Shrewsbury,3054,50000,,,,,,,,"Will Gray",
145923,"Michael Ihiekwe","Michael Uzoukwu Absalom Jude Ihiekwe",,"England, Nigeria",Centre-Back,Blackpool,1181,200000,,,,,,,,"Michael Ihiekwe",
146542,"Ollie Clarke","Oliver Anthony Clarke",,England,"Central Midfield","Swindon Town",352,75000,,,,,,,,"Ollie Clarke",
147623,"Carl Piergianni","Carl Liam Piergianni",,"England, Italy",Centre-Back,Stevenage,3684,75000,,,,,,,,"Carl Piergianni",
148299,"Curtis Nelson","Curtis Alexander Nelson",,England,Centre-Back,"MK Dons",991,275000,,,,,,,,"Curtis Nelson",
148660,"Ollie Turton","Oliver Anthony Turton",,England,Right-Back,Salford,34888,150000,,,,,,,,"Oliver Turton",
1489626,"Oscar Lunn",,,"England, Italy",Centre-Back,Bradford,1027,,,,,,,,,,
1492268,"Alex Pavan",,,"England, South Africa","Attacking Midfield",Doncaster,2454,,,,,,,,,,
1492270,"Lincoln Pawlak",,,England,Centre-Back,Doncaster,2454,,,,,,,,,,
1494203,"Max Murray",,,England,Right-Back,Huddersfield,1110,,,,,,,,,,
1537871,"Charlie Bussell",,,England,"Central Midfield","Port Vale",1211,,,,,,,,,"Charlie Bussel",
154219,"Michael Rose","Michael Alexander Rose",,Scotland,Centre-Back,Salford,34888,300000,,,,,,,,,
1562773,"Sam Mann",,,England,Centre-Forward,Tranmere,1074,,,,,,,,,,
158534,"Max Power","Max Mcauley Power",,England,"Central Midfield",Wigan,1071,200000,,,,,,,,"Max Power",
158702,"Ollie Banks","Oliver Ian Banks",,England,"Attacking Midfield","York City",1252,,,,,,,,,,
158713,"Richard Smallwood",,,England,"Defensive Midfield","Bristol Rovers",2455,25000,,,,,,,,"Richard Smallwood",
160154,"Ashley Palmer","Ashley John Palmer",,England,Centre-Back,"York City",1252,,,,,,,,,,
160525,"Antoni Sarcevic","Antoni Charles Sarcevic",,"England, Serbia","Attacking Midfield",Bradford,1027,50000,,,,,,,,"Antoni Sarcevic",
163531,"Connor Ripley","Connor James Ripley",,England,Goalkeeper,"Swindon Town",352,125000,,,,,,,,"Connor Ripley",
167254,"Dominic Ball","Dominic Martin Ball",,"England, Northern Ireland","Defensive Midfield","Cambridge Utd.",986,250000,,,,,,,,"Dominic Ball",
167265,"Cameron McGeehan","Cameron Alexander McGeehan",,"Northern Ireland, England","Central Midfield",Barnsley,349,250000,,,,,,,,"Cameron McGeehan",
167393,"James Husband","James Andrew Husband",,England,Left-Back,Doncaster,2454,175000,,,,,,,,"James Husband",
169555,"Callum Paterson","Callum Thomas Owen Paterson",,"Scotland, England",Centre-Forward,"MK Dons",991,550000,,,,,,,,"Callum Paterson",
169801,"Cauley Woodrow",,,England,Centre-Forward,Wycombe,2805,400000,,,,,,,,"Cauley Woodrow",
173483,"Nahki Wells","Nahki Michael Wells",,Bermuda,Centre-Forward,Luton,1031,200000,,,,,,,,"Nahki Wells",
174099,"Murray Wallace",,,Scotland,Centre-Back,Huddersfield,1110,400000,,,,,,,,"Murray Wallace",
175740,"Joe Rafferty","Joseph Gerard Rafferty",,"Ireland, England",Right-Back,Rotherham,1194,200000,,,,,,,,"Joe Rafferty",
176632,"Josh Ruffels","Joshua Andrew Bernard Ruffels",,England,Left-Back,Shrewsbury,3054,175000,,,,,,,,"Josh Ruffels",
177901,"Joe Ironside","Joe Samuel Ironside",,England,Centre-Forward,Tranmere,1074,150000,,,,,,,,"Joe Ironside",
178067,"Stephen McLaughlin","Stephen Antony McLaughlin",,Ireland,Left-Back,"Mansfield Town",3820,50000,,,,,,,,"Stephen McLaughlin",
177914,"Oliver Norburn","Oliver Lewis Norburn",,"Grenada, England","Central Midfield","Oldham Athletic",1078,75000,,,,,,,,"Oliver Norburn",
181498,"George Evans",,,England,"Defensive Midfield","Burton Albion",2963,150000,,,,,,,,"George Evans",
182842,"Josh Scowen","Joshua Charles Scowen",,England,"Central Midfield",Wycombe,2805,100000,,,,,,,,"Josh Scowen",
181714,"Sven Sprangler",,,Austria,"Central Midfield",Walsall,899,100000,,,,,,,,"Sven Sprangler",
183166,"Ian Lawlor","Ian John Lawlor",,Ireland,Goalkeeper,"Crewe Alexandra",1042,75000,,,,,,,,"Ian Lawlor",
183301,"Luke McGee","Luke Paul McGee",,England,Goalkeeper,Tranmere,1074,75000,,,,,,,,"Luke McGee",
183172,"Pierce Sweeney","Pierce Liam Sweeney",,Ireland,Centre-Back,Cheltenham,3371,200000,,,,,,,,"Pierce Sweeney",
184129,"Jordan Clark","Jordan Charles Clark",,England,"Attacking Midfield",Luton,1031,500000,,,,,,,,"Jordan Clark",
185467,"Jake Reeves","Jake Kenny Reeves",,England,"Central Midfield","AFC Wimbledon",3884,125000,,,,,,,,"Jake Reeves",
185109,"Ellis Harrison","Ellis Wade Harrison",,Wales,Centre-Forward,"Bristol Rovers",2455,75000,,,,,,,,"Ellis Harrison",
185869,"Grant Smith","Grant Ashley Smith",,England,Goalkeeper,Bromley,8981,100000,,,,,,,,"Grant Smith",
186624,"Elliott Hewitt","Elliott Jack Hewitt",,Wales,Right-Back,"Mansfield Town",3820,100000,,,,,,,,"Elliott Hewitt",
186597,"Tom Nichols","Thomas Andrew Nichols",,England,"Attacking Midfield","Swindon Town",352,100000,,,,,,,,"Tom Nichols",
186924,"Devante Cole","Devante Lavon Andrew Dewar-Cole",,"Jamaica, England",Centre-Forward,Luton,1031,350000,,,,,,,,"Devante Cole",
192611,"Joel Pereira","Joel Dinis Castro Pereira",,"Portugal, Switzerland",Goalkeeper,Reading,1032,325000,,,,,,,,,
186927,"Jordan Houghton","Jordan Alexander Houghton",,England,"Defensive Midfield",Stevenage,3684,750000,,,,,,,,"Jordan Houghton",
194189,"Mickey Demetriou","Μίκης Ντέιβιντ Δημητρίου",,"England, Cyprus",Centre-Back,"Crewe Alexandra",1042,50000,,,,,,,,"Mickey Demetriou",
1001391,"Ollie Pearce",,,England,Centre-Forward,"York City",1252,,,,,,,,,,
192766,"Gwion Edwards","Gwion Dafydd Rhys Edwards",,Wales,"Right Winger","Exeter City",6699,,,,,,,,,,
195679,"Deji Oshilaja","Abdul-Yussuf Adedeji Adeniyi Oshilaja",,"England, Nigeria",Centre-Back,"Mansfield Town",3820,150000,,,,,,,,"Adedeji Oshilaja",
195680,"Joe Ralls","Joseph Williams Ralls",,England,"Central Midfield",Plymouth,2262,300000,,,,,,,,"Joe Ralls",
198861,"Sam Hoskins","Samuel Tobias Hoskins",,England,"Right Winger",Northampton,1302,125000,,,,,,,,"Sam Hoskins",
197791,"Janoi Donacien","Janoi Denzil Naieme Donacien",,"St. Lucia, England",Right-Back,Northampton,1302,100000,,,,,,,,"Janoi Donacien",
199522,"Donervon Daniels","Donervon Joseph Daniels",,"Montserrat, England",Centre-Back,"Oldham Athletic",1078,75000,,,,,,,,"Donervon Daniels",
204960,"Ibou Touray","Ibou Omar Touray",,"The Gambia, England",Left-Back,Bradford,1027,225000,,,,,,,,"Ibou Touray",
207771,"Louis Thompson","Louis Clyde William Thompson",,"Wales, England","Central Midfield",Stevenage,3684,150000,,,,,,,,"Louis Thompson",
211076,"Ross Fitzsimons","Ross Alan Richard Frank Fitzsimons",,England,Goalkeeper,Northampton,1302,100000,,,,,,,,"Ross Fitzsimons",
212426,"Connor Jennings","Connor Joseph Jennings",,England,Centre-Forward,Tranmere,1074,50000,,,,,,,,"Connor Jennings",
213398,"Cole Stockton","Cole John Stockton",,England,Centre-Forward,Accrington,3688,100000,,,,,,,,"Cole Stockton",
213847,"Jordan Roberts","Jordan Stephen Roberts",,England,"Left Midfield",Stevenage,3684,150000,,,,,,,,"Jordan Roberts",
216901,"Cameron Norman","Cameron Pearce Norman",,England,Right-Back,"Newport County",3716,150000,,,,,,,,"Cameron Norman",
217806,"Sam Finley","Samuel Joseph Finley",,England,"Central Midfield",Tranmere,1074,75000,,,,,,,,"Sam Finley",
217094,"Chey Dunkley","Cheyenne Armani Keanu Roma Dunkley",,"Jamaica, England",Centre-Back,Chesterfield,1219,75000,,,,,,,,"Chey Dunkley",
218087,"Ben Osborn","Benjamin Jarrod Osborn",,England,"Central Midfield",Stockport,1098,700000,,,,,,,,"Ben Osborn",
218355,"Conor Grant","Conor James Grant",,England,"Central Midfield",Accrington,3688,75000,,,,,,,,,
218140,"George Honeyman","George Christopher Honeyman",,England,"Attacking Midfield",Blackpool,1181,500000,,,,,,,,"George Honeyman",
220491,"Matt Macey","Matthew Ryan Macey",,England,Goalkeeper,Wycombe,2805,200000,,,,,,,,"Matt Macey",
222108,"Jon Guthrie","Jonathan Neil Guthrie",,England,Centre-Back,Northampton,1302,100000,,,,,,,,"Jon Guthrie",
220755,"Matthew Pennington",,,England,Centre-Back,Bradford,1027,250000,,,,,,,,"Matthew Pennington",
223225,"Dan Crowley","Daniel Patrick Crowley",,"England, Ireland","Attacking Midfield","MK Dons",991,400000,,,,,,,,"Dan Crowley",
226219,"Sean Raggett","Sean Aidan Raggett",,"England, Ireland",Centre-Back,"Colchester Utd.",1060,150000,,,,,,,,"Sean Raggett",
226978,"Jordan Turnbull","Jordan Robert Turnbull",,England,Centre-Back,Tranmere,1074,150000,,,,,,,,"Jordan Turnbull",
227315,"Luke Leahy",,,"England, Scotland","Central Midfield",Wycombe,2805,100000,,,,,,,,"Luke Leahy",
227944,"Dan Butler","Daniel Butler",,England,Left-Back,Stevenage,3684,175000,,,,,,,,"Dan Butler",
232897,"Ryan Woods","Ryan Michael Woods",,England,"Defensive Midfield","Oldham Athletic",1078,175000,,,,,,,,,
236870,"Matt Palmer","Matthew Thomas Palmer",,England,"Central Midfield","Notts County",1045,250000,,,,,,,,"Matt Palmer",
237505,"Jack Whatmough","Jack David Vincent Whatmough",,England,Centre-Back,Huddersfield,1110,600000,,,,,,,,"Jack Whatmough",
238440,"Alex Gilbey","Alexander Scott Gilbey",,England,"Attacking Midfield","MK Dons",991,300000,,,,,,,,"Alex Gilbey",
238556,"Bradley Dack","Bradley Paul Dack",,England,"Attacking Midfield",Gillingham,2814,150000,,,,,,,,"Bradley Dack",
243623,"Stuart Moore","Stuart John Moore",,England,Goalkeeper,Wycombe,2805,75000,,,,,,,,,
242412,"Gethin Jones","Gethin Wynne Jones",,"Australia, Wales",Right-Back,"MK Dons",991,275000,,,,,,,,,
240083,"George Byers","George William Byers",,"Scotland, England","Central Midfield","Port Vale",1211,225000,,,,,,,,"George Byers",
244130,"Sullay Kaikai","Sulaiman Borbor Kaikai",,"Sierra Leone, England","Left Winger","Cambridge Utd.",986,150000,,,,,,,,"Sullay Kaikai",
244125,"Hiram Boateng","Hiram Kojo Kwarteng Boateng",,"England, Ghana","Central Midfield","York City",1252,,,,,,,,,,
244154,"Ryan Tafazolli","Ryan Sirous Tafazolli",,"England, Iran",Centre-Back,"Swindon Town",352,50000,,,,,,,,"Ryan Tafazolli",
244338,"Pelly Ruddock Mpanzu",,,"DR Congo, England","Defensive Midfield","Cambridge Utd.",986,350000,,,,,,,,"Pelly Mpanzu",
247400,"Will Boyle","William Sam Douglas Harry Boyle",,"England, Scotland",Centre-Back,Shrewsbury,3054,150000,,,,,,,,"Will Boyle",
248325,"Aaron Nemane","Aaron Evans Nemane",,"France, England","Right Winger",Rotherham,1194,300000,,,,,,,,"Aaron Nemane",
